Time,Name,Product
8/21/17 7:00 PM,Apex Oil Chesapeake,0.0
8/21/17 7:00 PM,Nu Star Piney Point,0.0
8/21/17 7:00 PM,Kinder Morgan (Valero) Richmond,0.0
8/21/17 7:00 PM,Nu Star Newport News,0.0
8/21/17 7:00 PM,Apex Oil Baltimore (Valero),0.0
8/21/17 7:00 PM,Bitumar Hamilton,0.0
8/21/17 7:00 PM,Iko Industries Hamilton,0.0
8/21/17 7:00 PM,McAsphalt Oshawa,0.0
8/21/17 7:00 PM,McAsphalt Dartmouth,0.0
8/21/17 7:00 PM,Suncor Montreal,0.0
8/21/17 7:00 PM,Canterm Montreal,0.0
8/21/17 7:00 PM,TME Montreal,0.0
8/21/17 7:00 PM,Sprague Sorel-Tracy,0.0
8/21/17 7:00 PM,Sterling Fuels Windsor,0.0
8/21/17 7:00 PM,BP Whiting,0.0
8/21/17 7:00 PM,AOS Chicago,0.0
8/21/17 7:00 PM,Marathon Detroit,0.0
8/21/17 7:00 PM,Suncor Sarnia,0.0
8/21/17 7:00 PM,Peckham Bronx,0.0
8/21/17 7:00 PM,Nu Star Bronx,0.0
8/21/17 7:00 PM,Nu Star Albany,0.0
8/21/17 7:00 PM,Peckham Albany,0.0
8/21/17 7:00 PM,Gorman Albany,0.0
8/21/17 7:00 PM,Pike Portsmouth,0.0
8/21/17 7:00 PM,Aggregate Industries Boston,0.0
8/21/17 7:00 PM,Nu Star Baltimore,0.0
8/21/17 7:00 PM,Irving St. John,0.0
8/21/17 7:00 PM,McAsphalt Hamilton,0.0
8/21/17 7:00 PM,Nu Star Dumfries,0.0
8/21/17 7:00 PM,Warner Mistersky,0.0
8/21/17 7:00 PM,BP Toledo,0.0
8/21/17 7:00 PM,BP Cleveland,0.0
8/21/17 7:00 PM,Irving Botwood,0.0
8/21/17 7:00 PM,Irving Stephenville,0.0
8/21/17 7:00 PM,Irving Holyrood,0.0
8/21/17 7:00 PM,Irving Searsport,0.0
8/21/17 7:00 PM,Irving South Portland,0.0
8/21/17 7:00 PM,Irving Newington,0.0
8/21/17 7:00 PM,Irving New Haven,0.0
8/21/17 7:00 PM,NOCO Tonawanda,0.0
8/21/17 7:00 PM,Bajo Grande Refinery,0.0
8/21/17 7:00 PM,Nu Star Savannah,0.0
8/21/17 7:00 PM,Payne & Dolan Milwaukee,0.0
8/21/17 7:00 PM,MIT Jones Island,0.0
8/21/17 7:00 PM,GCAC Mobile,0.0
8/21/17 7:00 PM,Canadian Asphalt Industries,0.0
8/21/17 7:00 PM,Shell Corunna,0.0
8/21/17 7:00 PM,Sprague Providence,0.0
8/21/17 7:15 PM,Apex Oil Chesapeake,0.0
8/21/17 7:15 PM,Nu Star Piney Point,0.0
8/21/17 7:15 PM,Kinder Morgan (Valero) Richmond,0.0
8/21/17 7:15 PM,Nu Star Newport News,0.0
8/21/17 7:15 PM,Apex Oil Baltimore (Valero),0.0
8/21/17 7:15 PM,Bitumar Hamilton,0.0
8/21/17 7:15 PM,Iko Industries Hamilton,0.0
8/21/17 7:15 PM,McAsphalt Oshawa,0.0
8/21/17 7:15 PM,McAsphalt Dartmouth,0.0
8/21/17 7:15 PM,Suncor Montreal,0.0
8/21/17 7:15 PM,Canterm Montreal,0.0
8/21/17 7:15 PM,TME Montreal,0.0
8/21/17 7:15 PM,Sprague Sorel-Tracy,0.0
8/21/17 7:15 PM,Sterling Fuels Windsor,0.0
8/21/17 7:15 PM,BP Whiting,0.0
8/21/17 7:15 PM,AOS Chicago,0.0
8/21/17 7:15 PM,Marathon Detroit,0.0
8/21/17 7:15 PM,Suncor Sarnia,0.0
8/21/17 7:15 PM,Peckham Bronx,0.0
8/21/17 7:15 PM,Nu Star Bronx,0.0
8/21/17 7:15 PM,Nu Star Albany,0.0
8/21/17 7:15 PM,Peckham Albany,0.0
8/21/17 7:15 PM,Gorman Albany,0.0
8/21/17 7:15 PM,Pike Portsmouth,0.0
8/21/17 7:15 PM,Aggregate Industries Boston,0.0
8/21/17 7:15 PM,Nu Star Baltimore,0.0
8/21/17 7:15 PM,Irving St. John,0.0
8/21/17 7:15 PM,McAsphalt Hamilton,0.0
8/21/17 7:15 PM,Nu Star Dumfries,0.0
8/21/17 7:15 PM,Warner Mistersky,0.0
8/21/17 7:15 PM,BP Toledo,0.0
8/21/17 7:15 PM,BP Cleveland,0.0
8/21/17 7:15 PM,Irving Botwood,0.0
8/21/17 7:15 PM,Irving Stephenville,0.0
8/21/17 7:15 PM,Irving Holyrood,0.0
8/21/17 7:15 PM,Irving Searsport,0.0
8/21/17 7:15 PM,Irving South Portland,0.0
