Name,Gross tonnage,Deadweight
ZHUANG YUAN AO,9963,12000
ZHEN ZHU WAN,5569,6315
YUE LIANG WAN,9020,11047
YELLOWFIN,499,428
VIVEKA,5942,9776
THEODORA,4098,6616
TERESA,656,625
TARPON,448,-
TAI WO,3763,4999
SUNPOWER,3691,4999
STOLT FUJI,5539,6065
STELLA VIRGO,4074,4999
STELLA POLARIS,5396,8297
SOFIA,2063,2888
SKIPJACK,499,428
SEAPOWER,3726,4897
SAO DOMINGOS SAVIO,10830,14911
SAN DU AO,9963,12780
SAN BEATO,5832,6603
SAN BACCO,4703,4995
REBECCA LYNN,456,1335
PING HAI WAN,5565,6115
PENG HU WAN,5569,6327
PATHFINDER,231,170
PANDION,6280,7207
PALANCA SYDNEY,10830,14968
PALANCA SINGAPORE,10830,14953
PALANCA RIO,10830,14911
PALANCA MUSCAT,22864,30158
PALANCA MONTEVIDEO,22864,30100
PALANCA MIAMI,28013,36681
PALANCA MAPUTO,28014,36681
PALANCA LUANDA,10830,14911
PALANCA CADIZ,10830,14911
OCEAN WORLD,4387,5927
NORTH SEA,418,373
NING HAI WAN,5565,6118
NEWLEAD GRANADINO,4126,5887
NEPHELI,2512,3416
MISS GILL,342,-
MARY E HANNAH,-,-
MARONI,25738,43260
MAKO,499,419
LUCKY D,154,203
LINDA LEE BOUCHARD,687,705
LEO ASPHALT I,4275,5249
LEO A.MCARTHUR,1299,902
LAGAN,4474,7197
KATERINA L,2511,3500
KAREN PAPE,-,-
KAREN ANDRIE,458,291
JAYA OCEAN,4275,5250
JANESIA ASPHALT VI,5076,6033
JANESIA ASPHALT V,5076,6057
JANESIA ASPHALT IV,3378,4318
IVER EXACT,29456,46575
IVER BRILLIANT,6105,6239
IVER BRIGHT,6105,6265
IVER BLESSING,5948,6189
IVER BITUMEN,5836,6586
IVER BEST,5948,6187
IVER BEAUTY,5948,6100
IVER BALANCE,5948,6180
IVER AMBITION,6296,8962
IVER AGILE,5046,5765
IVER ACTION,5030,5897
IVER ABILITY,9416,12497
HERBANIA,5662,7066
GULF STREAM,42443,74999
FU NING WAN,5530,6109
FENG HUANG AO,10377,12799
FANG CHENG GANG,5493,6192
EVERLAST,1331,336
ELIZABETH ANNE,332,291
DISCOVERY COAST,412,157
DAMIA DESGAGNES,11978,15100
DA PENG WAN,5530,6143
DA MING SHAN,10748,12980
DA HUA SHAN,10748,12972
CPO RUSSIA,23353,37296
COSMIC 8,1190,1700
COSMIC 5,1531,2256
COSMIC 3,2026,3276
COSMIC 20,1062,1354
COSMIC 11,984,1367
COHO,499,428
CLOVER,29456,46784
CHESAPEAKE,472,533
CALUSA COAST,302,-
BROOKE CHAPMAN,392,297
BLUEFIN,499,428
BLANCO,-,-
BLACK SHARK,6026,8476
BITUMA 1,3964,4993
BITU EXPRESS,28323,45974
BITLAND,4025,4450
BITFLOWER,4936,6314
BIT REDO,6334,8881
BISKRA,8744,12509
BD 51,5493,6163
BARBARA ANDRIE,298,-
ATLANTIC COAST,341,346
ASPHALTtRANSPORTER,6292,9221
ASPHALT SUMMER,6457,6855
ASPHALT STAR,28559,46432
ASPHALT SPRING,6457,6726
ASPHALT SPLENDOR,26119,37087
ASPHALT SPIRIT,10491,14484
ASPHALT SEMINOLE,6292,9230
ASPHALT SAILOR,6292,9240
ASPHALT PRINCESS,5746,9748
ASPHALT EAGLE,27284,46178
ASPHALT CARRIER,6292,9230
ARDEA,4657,4972
ANTIGONE,-,-
ANNE JARRETT,264,89
ANACOSTIA,327,364
AN HAI WAN,5565,6165
ALPS WIDESHINE,5493,6186
ACACIA RUBRA,5539,6065
3B VICTORY,3923,5872
