Name,Latitude,Longitude,Type
Apex Oil Chesapeake,36.80495071,-76.28978729,Terminal
Nu Star Piney Point,38.133461,-76.53286743,Terminal
Kinder Morgan (Valero) Richmond,37.47190857,-77.42299652,Terminal
Nu Star Newport News,36.96089935,-76.41629791,Terminal
Apex Oil Baltimore (Valero),39.27362061,-76.57087708,Terminal
Bitumar Hamilton,43.27368927,-79.78510284,Terminal
Iko Industries Hamilton,43.27220154,-79.84600067,Terminal
McAsphalt Oshawa,43.86800003,-78.8234024,Terminal
McAsphalt Dartmouth,44.62210083,-63.51259995,Terminal
Suncor Montreal,45.63147354,-73.49163055,Terminal
Canterm Montreal,45.61209106,-73.50601959,Terminal
TME Montreal,45.61478043,-73.50486755,Terminal
Sprague Sorel-Tracy,45.99779892,-73.17298126,Terminal
Sterling Fuels Windsor,42.29460144,-83.08789825,Terminal
BP Whiting,41.66259003,-87.48355865,Terminal
AOS Chicago,41.70275116,-87.55519104,Terminal
Marathon Detroit,42.27870178,-83.11959839,Terminal
Suncor Sarnia,42.93424988,-82.44682312,Terminal
Peckham Bronx,40.80096436,-73.90718079,Terminal
Nu Star Bronx,40.80365753,-73.9040451,Terminal
Nu Star Albany,42.61558533,-73.76100159,Terminal
Peckham Albany,42.6191597,-73.75939178,Terminal
Gorman Albany,42.61654663,-73.75720978,Terminal
Pike Portsmouth,43.09557343,-70.7808075,Terminal
Aggregate Industries Boston,42.38814545,-71.05841827,Terminal
Nu Star Baltimore,39.24588776,-76.57579041,Terminal
Irving St. John,45.27417755,-66.03939056,Terminal
McAsphalt Hamilton,43.2675209,-79.78649139,Terminal
Nu Star Dumfries,38.55989838,-77.25640106,Terminal
Warner Mistersky,42.30224228,-83.08908844,Terminal
BP Toledo,41.68330002,-83.47810364,Terminal
BP Cleveland,41.48559952,-81.67880249,Terminal
Irving Botwood,49.14693069,-55.33784866,Terminal
Irving Stephenville,48.52920151,-58.52730179,Terminal
Irving Holyrood,47.39670181,-53.12540054,Terminal
Irving Searsport,44.45040131,-68.89769745,Terminal
Irving South Portland,43.63642883,-70.28620911,Terminal
Irving Newington,43.1086998,-70.8015976,Terminal
Irving New Haven,41.29700089,-72.9095993,Terminal
NOCO Tonawanda,42.99539948,-78.93669891,Terminal
Bajo Grande Refinery,10.50111008,-71.61360931,Terminal
Nu Star Savannah,32.11029816,-81.12449646,Terminal
Payne & Dolan Milwaukee,43.01821136,-87.90588379,Terminal
MIT Jones Island,43.01340103,-87.89250183,Terminal
GCAC Mobile,30.70739937,-88.03649902,Terminal
Canadian Asphalt Industries,43.27399826,-79.84600067,Terminal
Shell Corunna,42.90570068,-82.45700073,Terminal
Sprague Providence,41.80939484,-71.40284729,Terminal
Axeon Wilmington,34.1824913,-77.95657349,Refinery
Marathon Refinery Garyville,30.05039927,-90.59490395,Refinery
Bitumar Baltimore,39.2101,-76.5805,Refinery
Axeon Paulsboro,39.8544,-75.229,Refinery
"Apex Oil & CT Wilmington, NC",34.18793853,-77.9559927,Refinery
"Valero & PBF, Paulsboro",39.84575597,-75.26668715,Refinery
PDVSA Amuay Bay,11.7475996,-70.21320343,Refinery
"Bitumar USA Inc/Global, So Portland. Me",43.63649245,-70.27576709,Refinery
MT Airy PBF / Apex Garyville,30.0534,-90.6484,Refinery
Irving Monobuoy,45.1967,-65.9888,Refinery
Bitumar USA Inc/Providence,41.7983,-71.3896,Refinery
KMI Wilmington,34.2101,-77.9549,Refinery
Yellow Line,43.2635,-79.7891,Refinery
Targa Baltimore,39.240347,-76.5656627,Refinery
Cape Henry,36.9258463,-76.0081172,Refinery
Sprague/Irving East Providence,41.831456,-71.3763821,Refinery
AEI Morehead NC,34.7153713,-76.7008138,Refinery
Tarragona Spain,41.0914488,1.2182593,Refinery
Hellas Refinery Corinth Greece,37.9148155,23.0884337,Refinery
